clean_file,spec_version,n_ops_original,n_ops_converted,status
S1__amazonaws.com-meteringmarketplace-2016-01-14-swagger.yaml,3.x,4,4,ok
S1__amazonaws.com-mobile-2017-07-01-swagger.yaml,3.x,9,9,ok
S1__amazonaws.com-monitoring-2010-08-01-swagger.yaml,3.x,46,46,ok
S1__amazonaws.com-mq-2017-11-27-swagger.yaml,3.x,22,22,ok
S1__amazonaws.com-mturk-requester-2017-01-17-swagger.yaml,3.x,39,39,ok
S1__amazonaws.com-neptune-2014-10-31-swagger.yaml,3.x,114,114,ok
S1__amazonaws.com-opsworks-2013-02-18-swagger.yaml,3.x,74,74,ok
S1__amazonaws.com-opsworkscm-2016-11-01-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-organizations-2016-11-28-swagger.yaml,3.x,46,46,ok
S1__amazonaws.com-personalize-2018-05-22-swagger.yaml,3.x,36,36,ok
S1__amazonaws.com-pinpoint-2016-12-01-swagger.yaml,3.x,79,79,ok
S1__amazonaws.com-pinpoint-email-2018-07-26-swagger.yaml,3.x,42,42,ok
S1__amazonaws.com-polly-2016-06-10-swagger.yaml,3.x,9,9,ok
S1__amazonaws.com-pricing-2017-10-15-swagger.yaml,3.x,3,3,ok
S1__amazonaws.com-qldb-2019-01-02-swagger.yaml,3.x,15,15,ok
S1__amazonaws.com-quicksight-2018-04-01-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-ram-2018-01-04-swagger.yaml,3.x,17,17,ok
S1__amazonaws.com-rds-2014-10-31-swagger.yaml,3.x,222,222,ok
S1__amazonaws.com-rds-data-2018-08-01-swagger.yaml,3.x,6,6,ok
S1__amazonaws.com-redshift-2012-12-01-swagger.yaml,3.x,164,164,ok
S1__amazonaws.com-rekognition-2016-06-27-swagger.yaml,3.x,34,34,ok
S1__amazonaws.com-resource-groups-2017-11-27-swagger.yaml,3.x,12,12,ok
S1__amazonaws.com-resourcegroupstaggingapi-2017-01-26-swagger.yaml,3.x,5,5,ok
S1__amazonaws.com-robomaker-2018-06-29-swagger.yaml,3.x,36,36,ok
S1__amazonaws.com-route53-2013-04-01-swagger.yaml,3.x,56,56,ok
S1__amazonaws.com-route53domains-2014-05-15-swagger.yaml,3.x,24,24,ok
S1__amazonaws.com-route53resolver-2018-04-01-swagger.yaml,3.x,22,22,ok
S1__amazonaws.com-runtime.lex-2016-11-28-swagger.yaml,3.x,5,5,ok
S1__amazonaws.com-s3-2006-03-01-swagger.yaml,3.x,86,86,ok
S1__amazonaws.com-s3control-2018-08-20-swagger.yaml,3.x,8,8,ok
S1__amazonaws.com-sagemaker-2017-07-24-swagger.yaml,3.x,75,75,ok
S1__amazonaws.com-sdb-2009-04-15-swagger.yaml,3.x,20,20,ok
S1__amazonaws.com-secretsmanager-2017-10-17-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-securityhub-2018-10-26-swagger.yaml,3.x,38,38,ok
S1__amazonaws.com-serverlessrepo-2017-09-08-swagger.yaml,3.x,13,13,ok
S1__amazonaws.com-service-quotas-2019-06-24-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-servicecatalog-2015-12-10-swagger.yaml,3.x,83,83,ok
S1__amazonaws.com-servicediscovery-2017-03-14-swagger.yaml,3.x,20,20,ok
S1__amazonaws.com-shield-2016-06-02-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-signer-2017-08-25-swagger.yaml,3.x,9,9,ok
S1__amazonaws.com-sms-2016-10-24-swagger.yaml,3.x,28,28,ok
S1__amazonaws.com-sms-voice-2018-09-05-swagger.yaml,3.x,8,8,ok
S1__amazonaws.com-snowball-2016-06-30-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-sns-2010-03-31-swagger.yaml,3.x,66,66,ok
S1__amazonaws.com-sqs-2012-11-05-swagger.yaml,3.x,40,40,ok
S1__amazonaws.com-ssm-2014-11-06-swagger.yaml,3.x,120,120,ok
S1__amazonaws.com-states-2016-11-23-swagger.yaml,3.x,22,22,ok
S1__amazonaws.com-storagegateway-2013-06-30-swagger.yaml,3.x,73,73,ok
S1__amazonaws.com-streams.dynamodb-2012-08-10-swagger.yaml,3.x,4,4,ok
S1__amazonaws.com-sts-2011-06-15-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-support-2013-04-15-swagger.yaml,3.x,14,14,ok
S1__amazonaws.com-swf-2012-01-25-swagger.yaml,3.x,37,37,ok
S1__amazonaws.com-textract-2018-06-27-swagger.yaml,3.x,6,6,ok
S1__amazonaws.com-transcribe-2017-10-26-swagger.yaml,3.x,9,9,ok
S1__amazonaws.com-transfer-2018-11-05-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-translate-2017-07-01-swagger.yaml,3.x,5,5,ok
S1__amazonaws.com-waf-2015-08-24-swagger.yaml,3.x,76,76,ok
S1__amazonaws.com-waf-regional-2016-11-28-swagger.yaml,3.x,80,80,ok
S1__amazonaws.com-workdocs-2016-05-01-swagger.yaml,3.x,41,41,ok
S1__amazonaws.com-worklink-2018-09-25-swagger.yaml,3.x,30,30,ok
S1__amazonaws.com-workmail-2017-10-01-swagger.yaml,3.x,33,33,ok
S1__amazonaws.com-workspaces-2015-04-08-swagger.yaml,3.x,35,35,ok
S1__amazonaws.com-xray-2016-04-12-swagger.yaml,3.x,20,20,ok
S1__anchore.io-0.1.12-swagger.yaml,3.x,83,83,ok
S1__apache.org-qakka-v1-swagger.yaml,3.x,9,9,ok
S1__apacta.com-0.0.1-swagger.yaml,3.x,137,137,ok
S1__api2cart.com-1.0.0-swagger.yaml,3.x,128,128,ok
S1__api2pdf.com-1.0.0-openapi.yaml,3.x,9,9,ok
S1__apigee.net-marketcheck-cars-1.6-swagger.yaml,3.x,19,19,ok
S1__appveyor.com-1.0.0-swagger.yaml,3.x,51,51,ok
S1__archive.org-search-1.0.0-swagger.yaml,3.x,3,3,ok
S1__art19.com-1.0.0-swagger.yaml,3.x,22,22,ok
S1__atlassian.com-jira-v3-swagger.yaml,3.x,315,315,ok
S1__ato.gov.au-0.0.6-swagger.yaml,3.x,74,74,ok
S1__aucklandmuseum.com-2.0.0-swagger.yaml,3.x,6,6,ok
S1__authentiq.io-1.0-swagger.yaml,3.x,9,9,ok
S1__avaza.com-v1-swagger.yaml,3.x,53,53,ok
S1__aviationdata.systems-v1-swagger.yaml,3.x,6,6,ok
S1__axesso.de-1.0.0-swagger.yaml,3.x,4,4,ok
S1__azure.com-EnterpriseKnowledgeGraph-EnterpriseKnowledgeGraphSwagger-2018-12-03-swagger.yaml,3.x,7,7,ok
